rank,item,category,tier,status,class_spec_score,likely_spec_count,situational_spec_count,material_cost,sell_price,net_sell_after_cut,profit,roi,available,recommended_quantity,material_source_summary,material_cost_detail,reason
39,Potion of the Mountains,potion,B,ok,2365,5,0,24821,73300,69635,44814,1.8055,1107,15,1x Crystal Vial->AH; 1x Green Tea Leaf->AH; 1x Rain Poppy->AH,"Recipe input cost 2g 97s 85c per craft. Expected output valued at 1.2 Potion of the Mountains per craft via Potion Master, for an effective unit cost of 2g 48s 21c.",Tank market is narrower
1,Potion of the Jade Serpent,potion,S,ok,4995,15,0,32403,60000,57000,24597,0.7591,8303,23,1x Crystal Vial->AH; 1x Green Tea Leaf->AH; 1x Silkweed->AH,"Recipe input cost 3g 88s 84c per craft. Expected output valued at 1.2 Potion of the Jade Serpent per craft via Potion Master, for an effective unit cost of 3g 24s 3c.",Strong repeat demand from Intellect users
28,Glyph of Touch of Death,glyph,A,ok,3375,1,0,500,20000,19000,18500,37.0,39,1,3x Celestial Ink->trade(1x Ink of Dreams->craft(2x Shadow Pigment->mill:Rain Poppy)); 1x Light Parchment->AH,,Secondary Windwalker option
2,Virmen's Bite,potion,S,ok,4855,9,2,29821,42300,40185,10364,0.3475,6646,18,1x Crystal Vial->AH; 1x Green Tea Leaf->AH; 1x Snow Lily->AH,"Recipe input cost 3g 57s 85c per craft. Expected output valued at 1.2 Virmen's Bite per craft via Potion Master, for an effective unit cost of 2g 98s 21c.",Strong repeat demand from Agility users
35,Potion of Mogu Power,potion,A,skip,3435,5,3,39069,40000,38000,-1069,-0.0274,2153,0,1x Crystal Vial->AH; 1x Green Tea Leaf->AH; 1x Fool's Cap->AH,"Recipe input cost 4g 68s 83c per craft. Expected output valued at 1.2 Potion of Mogu Power per craft via Potion Master, for an effective unit cost of 3g 90s 69c.","Strength potion, narrower than Int/Agi demand"
53,Mogu Fish Stew,food,A,skip,3325,9,0,379786,383802,364611,-15175,-0.04,3096,0,1x Black Pepper->AH; 5x Emperor Salmon->AH; 5x Raw Crocolisk Belly->AH; 25x Mogu Pumpkin->AH,"Recipe input cost 379g 78s 55c per craft. Base recipe output valued at 10 Mogu Fish Stew per craft, for an effective unit cost of 37g 97s 86c.",Core Intellect personal food for caster and healer markets
43,Primal Diamond,alchemy_transmutation,A,skip,3200,0,0,4040000,4206969,3996620,-43380,-0.0107,615,0,2x Wild Jade->AH; 2x Vermilion Onyx->AH; 2x Imperial Amethyst->AH,,Meta gem transmute with strong Phase 4 cut demand
45,Vermilion Onyx,alchemy_transmutation,B,skip,2180,0,0,899693,880000,836000,-63693,-0.0708,145,0,1x Tiger Opal->AH; 1x Golden Lotus->AH,,Strong orange gem transmute with several popular cuts
4,Netherweave Bag,tailoring_bag,S,skip,4590,0,0,139000,56499,53674,-85326,-0.6139,157,0,4x Bolt of Netherweave->AH; 1x Rune Thread->vendor,,Low-capital legacy bag with constant baseline demand
38,Flask of the Earth,flask,B,skip,2375,5,0,777982,720000,684000,-93982,-0.1208,694,0,1x Crystal Vial->AH; 4x Rain Poppy->AH; 1x Golden Lotus->AH,,Tank market is narrower
4,Flask of Spring Blossoms,flask,S,skip,4835,9,2,801982,700000,665000,-136982,-0.1708,1127,0,1x Crystal Vial->AH; 4x Snow Lily->AH; 1x Golden Lotus->AH,,Core Agility flask across multiple popular specs
3,Flask of the Warm Sun,flask,S,skip,4975,15,0,814378,694465,659741,-154637,-0.1899,2446,0,1x Crystal Vial->AH; 4x Silkweed->AH; 1x Golden Lotus->AH,,Core Intellect flask across multiple popular specs
36,Flask of Winter's Bite,flask,A,skip,3425,5,3,846374,727466,691092,-155282,-0.1835,703,0,1x Crystal Vial->AH; 4x Fool's Cap->AH; 1x Golden Lotus->AH,,"Strength flask, narrower than Int/Agi demand"
57,Chun Tian Spring Rolls,food,B,skip,2185,5,0,345757,200000,190000,-155757,-0.4505,686,0,1x Rice Flour->AH; 5x Redbelly Mandarin->AH; 5x Raw Tiger Steak->AH; 25x Red Blossom Leek->AH,"Recipe input cost 345g 75s 70c per craft. Base recipe output valued at 10 Chun Tian Spring Rolls per craft, for an effective unit cost of 34g 57s 57c.",Stamina food aimed at dedicated tank buyers
56,Steamed Crab Surprise,food,B,skip,2220,6,0,256408,75876,72082,-184326,-0.7189,257,0,1x Rice Flour->AH; 5x Jewel Danio->AH; 5x Raw Crab Meat->AH; 25x White Turnip->AH,"Recipe input cost 256g 40s 75c per craft. Base recipe output valued at 10 Steamed Crab Surprise per craft, for an effective unit cost of 25g 64s 8c.",Spirit food aimed at healer mana-stability demand
54,Sea Mist Rice Noodles,food,A,skip,3315,9,0,394441,200000,190000,-204441,-0.5183,2037,0,1x Rice Flour->AH; 5x Tiger Gourami->AH; 5x Raw Turtle Meat->AH; 25x Scallions->AH,"Recipe input cost 394g 44s 10c per craft. Base recipe output valued at 10 Sea Mist Rice Noodles per craft, for an effective unit cost of 39g 44s 41c.",Core Agility personal food for leather and mail DPS demand
6,Frostweave Bag,tailoring_bag,A,skip,3570,0,0,1679994,1549997,1472497,-207497,-0.1235,51,0,6x Bolt of Imbued Frostweave->AH; 2x Eternium Thread->vendor,,Reliable Wrath bag seller with a straightforward cloth chain
42,Trillium Bar,alchemy_transmutation,A,skip,3210,0,0,921000,747775,710386,-210614,-0.2287,1371,0,10x Ghost Iron Bar->AH,,Flexible bar transmute that feeds Living Steel and other MoP crafts
46,Imperial Amethyst,alchemy_transmutation,C,skip,1170,0,0,762794,580000,551000,-211794,-0.2777,397,0,1x Roguestone->AH; 1x Golden Lotus->AH,,Lower-demand purple gem transmute that also feeds Primal Diamond
55,Black Pepper Ribs and Shrimp,food,A,skip,3205,5,0,414790,200000,190000,-224790,-0.5419,1596,0,1x Black Pepper->AH; 5x Giant Mantis Shrimp->AH; 5x Mushan Ribs->AH; 25x Green Cabbage->AH,"Recipe input cost 414g 78s 95c per craft. Base recipe output valued at 10 Black Pepper Ribs and Shrimp per craft, for an effective unit cost of 41g 47s 90c.",Core Strength personal food for plate DPS demand
49,Wild Jade,alchemy_transmutation,C,skip,1140,0,0,774197,560000,532000,-242197,-0.3128,343,0,1x Alexandrite->AH; 1x Golden Lotus->AH,,Lower-demand green gem transmute that also feeds Primal Diamond
3,Embersilk Bag,tailoring_bag,S,skip,4600,0,0,3031035,2851700,2709115,-321920,-0.1062,147,0,15x Bolt of Embersilk Cloth->AH; 15x Hypnotic Dust->AH,,Fast-moving 22-slot bag with broad alt demand
48,Sun's Radiance,alchemy_transmutation,C,skip,1150,0,0,798281,480000,456000,-342281,-0.4288,279,0,1x Sunstone->AH; 1x Golden Lotus->AH,,Lower-demand yellow gem transmute with narrower cut demand
33,Cerulean Spellthread,tailoring_spellthread,A,skip,3525,9,0,370000,27496,26121,-343879,-0.9294,27,0,4x Bolt of Windwool Cloth->craft(5x Windwool Cloth->AH),,Lower-tier alternative spellthread
44,Primordial Ruby,alchemy_transmutation,B,skip,2190,0,0,839794,480000,456000,-383794,-0.457,174,0,1x Pandarian Garnet->AH; 1x Golden Lotus->AH,,High-demand red gem transmute with broad cut coverage
41,Living Steel,alchemy_transmutation,S,skip,4220,0,0,4486650,4199992,3989992,-496658,-0.1107,92,0,6x Trillium Bar->AH,,Top-value MoP transmute with broad crafted-material demand
47,River's Heart,alchemy_transmutation,C,skip,1160,0,0,738389,30000,28500,-709889,-0.9614,287,0,1x Lapis Lazuli->AH; 1x Golden Lotus->AH,,Lower-demand blue gem transmute with narrower cut demand
52,Pandaren Banquet,feast,A,skip,3960,34,0,6397488,779998,740998,-5656490,-0.8842,1464,0,1x 100 Year Soy Sauce->AH; 10x Jewel Danio->AH; 10x Raw Tiger Steak->AH; 50x Pink Turnip->AH,,Smaller raid feast with broad reset-night demand
50,Great Pandaren Banquet,feast,S,skip,4980,34,0,11545178,799983,759983,-10785195,-0.9342,686,0,1x 100 Year Soy Sauce->AH; 20x Jewel Danio->AH; 20x Raw Tiger Steak->AH; 100x Pink Turnip->AH,,Top universal raid feast with broad Phase 4 group demand
51,Pandaren Treasure Noodle Cart Kit,feast,S,missing_output_price,4970,34,0,,,,,,,0,,,Output item not found in AH snapshot
7,Glacial Bag,tailoring_bag,A,missing_output_price,3560,0,0,,,,,,,0,,,Output item not found in AH snapshot
34,Pearlescent Spellthread,tailoring_spellthread,A,missing_output_price,3515,9,0,,,,,,,0,,,Output item not found in AH snapshot
58,Spiced Blossom Soup,food,B,missing_output_price,2275,9,0,,,,,,,0,,,Output item not found in AH snapshot
59,Seasoned Pomfruit Slices,food,B,missing_output_price,2265,9,0,,,,,,,0,,,Output item not found in AH snapshot
60,Fluffy Silkfeather Omelet,food,B,missing_output_price,2155,5,0,,,,,,,0,,,Output item not found in AH snapshot
61,Farmer's Delight,food,C,missing_output_price,1170,6,0,,,,,,,0,,,Output item not found in AH snapshot
62,Stuffed Lushrooms,food,C,missing_output_price,1135,5,0,,,,,,,0,,,Output item not found in AH snapshot
